Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
2/14/23,03:56:44,4.1,15.978,-98.6917,17.1,"79 km al SUROESTE de PINOTEPA NACIONAL, OAX",14/02/2023,09:56:44,revisado
2/15/23,10:33:43,4,15.5428,-95.1428,23,"71 km al SUR de SALINA CRUZ, OAX",15/02/2023,16:33:43,revisado
2/16/23,00:11:54,4.2,17.6175,-95.9427,92.6,"55 km al SUR de LOMA BONITA, OAX",16/02/2023,06:11:54,revisado
2/17/23,01:08:14,4,17.7622,-100.17,55.5,"62 km al SUR de ARCELIA, GRO",17/02/2023,07:08:14,revisado
2/18/23,00:04:31,4.4,15.9333,-97.3192,5,"15 km al SURESTE de RIO GRANDE, OAX",18/02/2023,06:04:31,revisado
2/19/23,07:29:47,4,30.5848,-114.203,10,"78 km al SURESTE de SAN FELIPE, BC",19/02/2023,13:29:47,revisado
2/20/23,02:15:30,4.1,17.3072,-94.4272,39.2,"76 km al SUROESTE de LAS CHOAPAS, VER",20/02/2023,08:15:30,revisado
2/21/23,05:23:44,4.2,18.5447,-106.245,10,"193 km al SUROESTE de CIHUATLAN, JAL",21/02/2023,11:23:44,revisado
2/22/23,04:31:24,4.3,17.534,-95.7943,102.6,"61 km al SUROESTE de ISLA, VER",22/02/2023,10:31:24,revisado
2/23/23,01:37:19,4,15.4227,-94.9313,37.1,"89 km al SURESTE de SALINA CRUZ, OAX",23/02/2023,07:37:19,revisado
2/24/23,02:25:52,4,14.8687,-94.0713,16.5,"129 km al SUROESTE de PIJIJIAPAN, CHIS",24/02/2023,08:25:52,revisado
2/25/23,00:51:40,4.5,15.5858,-104.471,11.1,"354 km al SUROESTE de LA MIRA, MICH",25/02/2023,06:51:40,revisado
2/26/23,06:44:54,4.1,19.0737,-102.203,10.6,"13 km al NOROESTE de NUEVA ITALIA, MICH",26/02/2023,12:44:54,revisado
2/27/23,00:07:28,4,16.2823,-98.132,12.2,"11 km al SUROESTE de PINOTEPA NACIONAL, OAX",27/02/2023,06:07:28,revisado
2/28/23,00:46:50,4,13.8848,-94.2433,10,"225 km al SUROESTE de MAPASTEPEC, CHIS",28/02/2023,06:46:50,revisado
3/1/23,01:28:36,4.1,15.1375,-94.6522,17.1,"129 km al SURESTE de SALINA CRUZ, OAX",01/03/2023,07:28:36,revisado
3/2/23,00:29:22,4,13.6348,-92.2927,10,"116 km al SUR de CD HIDALGO, CHIS",02/03/2023,06:29:22,revisado
3/3/23,04:05:01,4,17.6915,-94.6348,153.7,"31 km al SURESTE de JALTIPAN DE MORELOS, VER",03/03/2023,10:05:01,revisado
3/4/23,02:35:06,4,13.6668,-93.1792,16.1,"158 km al SUROESTE de CD HIDALGO, CHIS",04/03/2023,08:35:06,revisado
3/5/23,03:53:31,4,16.1592,-98.4648,3.4,"48 km al SUROESTE de PINOTEPA NACIONAL, OAX",05/03/2023,09:53:31,revisado
3/6/23,01:37:39,4,14.9322,-94.2615,15.8,"139 km al SUROESTE de TONALA, CHIS",06/03/2023,07:37:39,revisado
3/7/23,06:31:46,4,13.2877,-92.5972,15,"161 km al SUROESTE de CD HIDALGO, CHIS",07/03/2023,12:31:46,revisado
3/8/23,15:53:09,4,16.5377,-98.6015,22.3,"26 km al SUROESTE de OMETEPEC, GRO",08/03/2023,21:53:09,revisado
3/9/23,06:01:35,4.6,16.9528,-95.1828,119.1,"17 km al NOROESTE de MATIAS ROMERO, OAX",09/03/2023,12:01:35,revisado
3/10/23,09:51:44,4.3,16.8728,-94.2428,133.1,"59 km al NOROESTE de CINTALAPA, CHIS",10/03/2023,15:51:44,revisado
3/11/23,01:32:10,4,13.709,-92.023,17.2,"108 km al SUR de CD HIDALGO, CHIS",11/03/2023,07:32:10,revisado
3/12/23,05:16:28,4,16.2987,-96.0257,87,"60 km al NORTE de CRUCECITA, OAX",12/03/2023,11:16:28,revisado
3/13/23,12:49:27,4.3,18.1977,-106.152,10,"203 km al SUROESTE de CIHUATLAN, JAL",13/03/2023,18:49:27,revisado
3/14/23,07:58:39,4.2,15.1577,-94.6247,16.1,"129 km al SURESTE de SALINA CRUZ, OAX",14/03/2023,13:58:39,revisado
3/15/23,00:36:27,4.2,18.6747,-106.654,10,"229 km al SUROESTE de CIHUATLAN, JAL",15/03/2023,06:36:27,revisado
3/16/23,03:16:37,4,16.2388,-95.1917,4.3,"6 km al NORTE de SALINA CRUZ, OAX",16/03/2023,09:16:37,revisado
3/17/23,00:40:39,4.2,19.597,-102.349,13,"11 km al NORESTE de PERIBAN, MICH",17/03/2023,06:40:39,revisado
3/18/23,00:33:44,4.2,18.654,-106.321,10,"196 km al SUROESTE de CIHUATLAN, JAL",18/03/2023,06:33:44,revisado
3/19/23,01:23:50,4,16.9548,-100.369,10,"29 km al SUR de ATOYAC DE ALVAREZ, GRO",19/03/2023,07:23:50,revisado
3/20/23,03:28:14,4.1,16.9725,-101.603,16.1,"72 km al SUROESTE de PETATLAN, GRO",20/03/2023,09:28:14,revisado
3/21/23,05:05:28,4,19.5128,-102.491,5,"8 km al OESTE de PERIBAN, MICH",21/03/2023,11:05:28,revisado
3/22/23,07:33:40,4.1,17.029,-94.0167,164.6,"48 km al NOROESTE de CINTALAPA, CHIS",22/03/2023,13:33:40,revisado
3/24/23,01:10:36,4,16.8115,-99.4103,12,"3 km al NOROESTE de SAN MARCOS, GRO",24/03/2023,07:10:36,revisado
3/25/23,05:35:08,4,18.1523,-106.141,10,"205 km al SUROESTE de CIHUATLAN, JAL",25/03/2023,11:35:08,revisado
3/26/23,00:51:47,4.3,15.8767,-92.7525,190.4,"50 km al NORESTE de MAPASTEPEC, CHIS",26/03/2023,06:51:47,revisado
3/27/23,02:47:57,4,19.531,-102.448,2.1,"4 km al NOROESTE de PERIBAN, MICH",27/03/2023,08:47:57,revisado
3/28/23,01:06:22,4.2,15.5337,-93.4292,87.4,"29 km al SUROESTE de PIJIJIAPAN, CHIS",28/03/2023,07:06:22,revisado
3/29/23,00:04:44,4,15.8098,-94.4147,13.9,"72 km al SUROESTE de ARRIAGA , CHIS",29/03/2023,06:04:44,revisado
3/30/23,00:08:05,4.1,18.2328,-103.336,20.2,"63 km al SUROESTE de COALCOMAN, MICH",30/03/2023,06:08:05,revisado
3/31/23,10:48:03,4.1,31.1127,-115.872,9.8,"44 km al NORTE de VICENTE GUERRERO, BC",31/03/2023,16:48:03,revisado
4/1/23,04:05:42,4,15.8653,-94.992,34.6,"41 km al SURESTE de SALINA CRUZ, OAX",01/04/2023,10:05:42,revisado
4/2/23,02:47:50,4.1,14.5425,-94.2705,16.5,"170 km al SUROESTE de PIJIJIAPAN, CHIS",02/04/2023,08:47:50,revisado
4/3/23,00:40:34,4.2,14.8018,-94.1018,20.7,"137 km al SUROESTE de PIJIJIAPAN, CHIS",03/04/2023,06:40:34,revisado
4/4/23,03:12:50,4.2,16.449,-98.6163,23,"34 km al SUROESTE de OMETEPEC, GRO",04/04/2023,09:12:50,revisado
4/5/23,03:21:31,4,19.5037,-102.545,3.7,"12 km al SUROESTE de LOS REYES DE SALGADO, MICH",05/04/2023,09:21:31,revisado
4/6/23,01:19:59,4.2,16.8542,-95.2082,101.3,"18 km al OESTE de MATIAS ROMERO, OAX",06/04/2023,07:19:59,revisado
4/7/23,03:05:39,4.3,17.8072,-94.5772,57.5,"20 km al SUR de MINATITLAN, VER",07/04/2023,09:05:39,revisado
4/8/23,00:22:10,4,19.5273,-102.549,2.3,"10 km al SUROESTE de LOS REYES DE SALGADO, MICH",08/04/2023,06:22:10,revisado
4/9/23,01:19:10,4,17.1403,-95.0857,45.5,"30 km al NORTE de MATIAS ROMERO, OAX",09/04/2023,07:19:10,revisado
4/10/23,03:13:09,4.5,14.6175,-92.3258,74.1,"20 km al SUROESTE de CD HIDALGO, CHIS",10/04/2023,09:13:09,revisado
4/11/23,01:26:32,4,18.1088,-103.39,8,"78 km al SUROESTE de COALCOMAN, MICH",11/04/2023,07:26:32,revisado
4/12/23,01:02:04,4.2,17.3568,-100.827,36.2,"26 km al NOROESTE de TECPAN, GRO",12/04/2023,07:02:04,revisado
4/13/23,01:22:15,4,17.2662,-95.187,116.7,"46 km al NOROESTE de MATIAS ROMERO, OAX",13/04/2023,07:22:15,revisado
4/14/23,04:24:31,4.1,19.4908,-102.393,4.2,"4 km al SURESTE de PERIBAN, MICH",14/04/2023,10:24:31,revisado
4/15/23,02:12:14,4,16.0142,-97.0772,27.8,"17 km al NORTE de PUERTO ESCONDIDO, OAX",15/04/2023,08:12:14,revisado
4/16/23,03:43:26,4.1,17.2855,-102.938,17.3,"105 km al SUROESTE de LA MIRA, MICH",16/04/2023,09:43:26,revisado
4/17/23,01:18:24,4.3,15.2483,-94.657,17.5,"118 km al SURESTE de SALINA CRUZ, OAX",17/04/2023,07:18:24,revisado
4/18/23,07:38:49,4,14.9112,-94.0208,15.8,"122 km al SUROESTE de PIJIJIAPAN, CHIS",18/04/2023,13:38:49,revisado
4/19/23,00:12:34,4.1,16.0005,-98.7092,17,"80 km al SUROESTE de PINOTEPA NACIONAL, OAX",19/04/2023,06:12:34,revisado
4/20/23,06:06:26,4.2,23.7108,-108.458,10,"130 km al SUROESTE de ELDORADO, SIN",20/04/2023,12:06:26,revisado
4/21/23,03:55:26,4.3,15.8643,-96.279,38.8,"19 km al NOROESTE de CRUCECITA, OAX",21/04/2023,09:55:26,revisado
4/22/23,01:49:15,4.3,19.2437,-109.183,10,"410 km al SUR de CABO SAN LUCAS, BCS",22/04/2023,07:49:15,revisado
4/23/23,02:17:21,4.1,15.9432,-97.311,5.5,"15 km al SURESTE de RIO GRANDE, OAX",23/04/2023,08:17:21,revisado
4/24/23,00:15:41,4,16.0118,-97.0835,36.5,"17 km al NORTE de PUERTO ESCONDIDO, OAX",24/04/2023,06:15:41,revisado
